Frame,X,Y,Probability
13730,143.0,156.0,0.87
13731,142.0,153.0,0.86
13732,139.0,148.0,0.87
13733,137.0,143.0,0.87
13734,135.0,137.0,0.86
13735,135.0,131.0,0.87
13736,135.0,123.0,0.86
13737,137.0,116.0,0.87
13738,141.0,108.0,0.89
13739,146.0,100.0,0.89
13740,153.0,95.0,0.88
13741,163.0,89.0,0.83
13762,164.0,92.0,0.84
13763,157.0,100.0,0.88
13764,153.0,108.0,0.89
13765,150.0,119.0,0.89
13766,149.0,130.0,0.88
13767,147.0,137.0,0.88
13768,147.0,144.0,0.88
13769,147.0,150.0,0.88
13770,148.0,154.0,0.88
13771,147.0,157.0,0.88
13772,148.0,159.0,0.87
13773,148.0,160.0,0.87
13774,148.0,161.0,0.86
13775,147.0,160.0,0.87
13776,147.0,160.0,0.86
13777,145.0,158.0,0.88
13778,143.0,157.0,0.87
13779,142.0,154.0,0.86
13780,141.0,152.0,0.87
13781,139.0,150.0,0.87
13782,137.0,148.0,0.87
13783,136.0,144.0,0.85
13784,135.0,140.0,0.85
13785,135.0,135.0,0.86
13786,135.0,128.0,0.86
13787,135.0,119.0,0.86
13788,139.0,112.0,0.87
13789,144.0,104.0,0.88
13790,149.0,96.0,0.88
13791,158.0,91.0,0.85
13792,168.0,82.0,0.78
13815,164.0,89.0,0.8
13816,158.0,96.0,0.88
13817,153.0,105.0,0.89
13818,149.0,115.0,0.89
13819,148.0,125.0,0.88
13820,148.0,135.0,0.88
13821,148.0,143.0,0.88
13822,149.0,150.0,0.88
13823,149.0,154.0,0.87
13824,149.0,158.0,0.88
13825,149.0,159.0,0.88
13826,149.0,160.0,0.88
13827,148.0,160.0,0.87
13828,147.0,160.0,0.87
13829,147.0,160.0,0.87
13830,146.0,159.0,0.87
13831,144.0,158.0,0.87
13832,143.0,157.0,0.88
13833,142.0,156.0,0.87
13834,141.0,154.0,0.88
13835,139.0,152.0,0.87
13836,138.0,150.0,0.87
13837,137.0,147.0,0.88
13838,136.0,143.0,0.85
13839,134.0,138.0,0.85
13840,133.0,132.0,0.86
13841,133.0,125.0,0.85
13842,134.0,116.0,0.86
13843,140.0,110.0,0.88
13844,145.0,101.0,0.9
13845,151.0,95.0,0.88
13846,160.0,90.0,0.83
13868,165.0,90.0,0.75
13869,159.0,98.0,0.86
13870,154.0,107.0,0.89
13871,149.0,117.0,0.88
13872,149.0,130.0,0.89
13873,150.0,140.0,0.88
13874,151.0,148.0,0.89
13875,152.0,154.0,0.87
13876,153.0,159.0,0.88
13877,152.0,161.0,0.87
13878,151.0,163.0,0.87
13879,151.0,164.0,0.87
13880,151.0,164.0,0.87
13881,149.0,164.0,0.86
13882,149.0,163.0,0.86
13883,147.0,162.0,0.87
13884,146.0,160.0,0.87
13885,143.0,158.0,0.88
13886,141.0,154.0,0.88
13887,138.0,149.0,0.87
13888,138.0,145.0,0.86
13889,137.0,139.0,0.86
13890,135.0,132.0,0.87
13891,134.0,124.0,0.86
13892,136.0,115.0,0.87
13893,141.0,109.0,0.88
13894,145.0,101.0,0.9
13895,151.0,95.0,0.89
13896,159.0,90.0,0.84
13897,169.0,84.0,0.73
13921,159.0,93.0,0.84
13922,155.0,103.0,0.89
13923,150.0,113.0,0.88
13924,148.0,124.0,0.89
13925,149.0,136.0,0.89
13926,150.0,145.0,0.88
13927,153.0,152.0,0.88
13928,154.0,157.0,0.88
13929,154.0,160.0,0.87
13930,153.0,161.0,0.88
13931,151.0,161.0,0.87
13932,150.0,161.0,0.87
13933,149.0,160.0,0.88
13934,148.0,159.0,0.86
13935,145.0,156.0,0.88
13936,144.0,153.0,0.87
13937,143.0,150.0,0.88
13938,141.0,146.0,0.88
13939,139.0,140.0,0.88
13940,138.0,134.0,0.88
13941,138.0,126.0,0.87
13942,137.0,118.0,0.88
13943,140.0,110.0,0.88
13944,145.0,104.0,0.89
13945,150.0,96.0,0.89
13946,157.0,92.0,0.88
13947,165.0,86.0,0.84
14040,167.0,84.0,0.7
14077,179.0,90.0,0.79
14078,176.0,94.0,0.85
14079,174.0,99.0,0.88
14080,172.0,105.0,0.87
14081,170.0,113.0,0.86
14082,168.0,120.0,0.86
14083,167.0,127.0,0.86
14084,168.0,132.0,0.86
14085,169.0,138.0,0.88
14086,171.0,144.0,0.87
14087,170.0,150.0,0.87
14088,171.0,157.0,0.86
14089,172.0,161.0,0.86
14090,171.0,164.0,0.88
14091,171.0,166.0,0.87
14092,171.0,168.0,0.88
14093,170.0,169.0,0.87
14094,168.0,169.0,0.86
14095,165.0,168.0,0.87
14096,164.0,168.0,0.87
14097,162.0,167.0,0.87
14098,159.0,166.0,0.88
14099,157.0,165.0,0.87
14100,155.0,164.0,0.89
14101,153.0,163.0,0.88
14102,150.0,161.0,0.87
14103,149.0,159.0,0.88
14104,147.0,157.0,0.88
14105,145.0,153.0,0.88
14106,142.0,149.0,0.89
14107,141.0,143.0,0.9
14108,139.0,135.0,0.89
14109,139.0,127.0,0.88
14110,141.0,120.0,0.88
14111,144.0,112.0,0.88
14112,148.0,105.0,0.89
14113,153.0,98.0,0.9
14114,159.0,95.0,0.89
14115,167.0,89.0,0.85
14137,178.0,95.0,0.8
14138,174.0,104.0,0.89
14139,170.0,113.0,0.88
14140,167.0,122.0,0.87
14141,166.0,132.0,0.88
14142,166.0,143.0,0.87
14143,167.0,152.0,0.87
14144,170.0,162.0,0.88
14145,175.0,170.0,0.87
14146,177.0,175.0,0.88
14147,177.0,179.0,0.89
14148,177.0,181.0,0.88
14149,178.0,183.0,0.88
14150,178.0,184.0,0.88
14151,177.0,185.0,0.88
14152,176.0,185.0,0.86
14153,175.0,185.0,0.86
14154,175.0,186.0,0.87
14155,174.0,186.0,0.87
14156,174.0,186.0,0.86
14157,173.0,186.0,0.88
14158,171.0,186.0,0.87
14159,171.0,186.0,0.87
14160,169.0,185.0,0.87
14161,167.0,184.0,0.86
14162,165.0,184.0,0.88
14163,163.0,183.0,0.88
14164,161.0,182.0,0.88
14165,159.0,180.0,0.87
14166,158.0,179.0,0.87
14167,156.0,178.0,0.87
14168,154.0,176.0,0.88
14169,151.0,173.0,0.87
14170,149.0,168.0,0.87
14171,146.0,162.0,0.89
14172,143.0,155.0,0.89
14173,143.0,148.0,0.89
14174,144.0,140.0,0.88
14175,147.0,135.0,0.88
14176,148.0,129.0,0.89
14177,149.0,124.0,0.9
14178,150.0,119.0,0.88
14179,150.0,114.0,0.88
14180,151.0,111.0,0.88
14181,153.0,108.0,0.88
14182,155.0,106.0,0.89
14183,158.0,105.0,0.88
14184,160.0,102.0,0.88
14185,163.0,100.0,0.87
14186,165.0,97.0,0.88
14187,169.0,95.0,0.86
14188,173.0,92.0,0.76
14203,173.0,103.0,0.84
14204,173.0,113.0,0.87
14205,171.0,123.0,0.87
14206,169.0,132.0,0.87
14207,168.0,141.0,0.85
14208,170.0,150.0,0.86
14209,173.0,160.0,0.87
14210,175.0,168.0,0.87
14211,176.0,175.0,0.87
14212,178.0,183.0,0.88
14213,179.0,187.0,0.87
14214,178.0,189.0,0.88
14215,178.0,190.0,0.88
14216,177.0,190.0,0.88
14217,176.0,191.0,0.87
14218,176.0,190.0,0.88
14219,174.0,189.0,0.87
14220,171.0,186.0,0.88
14221,167.0,184.0,0.88
14222,163.0,181.0,0.89
14223,159.0,179.0,0.88
14224,157.0,177.0,0.88
14225,155.0,175.0,0.88
14226,155.0,174.0,0.88
14227,153.0,172.0,0.88
14228,150.0,168.0,0.88
14229,147.0,163.0,0.89
14230,143.0,156.0,0.89
14231,142.0,148.0,0.88
14232,141.0,140.0,0.88
14233,142.0,133.0,0.87
14234,145.0,126.0,0.88
14235,147.0,119.0,0.88
14236,149.0,112.0,0.89
14237,154.0,106.0,0.88
14238,159.0,102.0,0.88
14239,162.0,97.0,0.87
14240,168.0,92.0,0.84
14272,164.0,87.0,0.73
14273,165.0,88.0,0.71
14276,166.0,87.0,0.84
14277,162.0,94.0,0.88
14278,159.0,102.0,0.87
14279,157.0,111.0,0.88
14280,155.0,119.0,0.87
14281,154.0,125.0,0.86
14282,153.0,131.0,0.88
14283,153.0,138.0,0.88
