Time,Data
65159,0.0003969927
65160,0.0004646202
65161,0.000441221
65162,0.0003986374
65163,0.0003563046
65164,0.0003283835
65165,0.000369178
65166,0.0003293429
65167,0.0003355256
65168,0.0004039865
65169,0.0003919134
65170,0.000427607
65171,0.0004752911
65172,0.0004152145
65173,0.0003830526
65174,0.000402479
65175,0.0003765115
65176,0.000388751
65177,0.000361751
65178,0.0003891869
65179,0.0004155816
65180,0.0004438283
65181,0.000443711
65182,0.000418986
65183,0.0004836476
65184,0.0004319292
65185,0.000378009
65186,0.0003238585
65187,0.0003419867
65188,0.000342841
65189,0.0003718717
65190,0.0004402653
65191,0.0004727733
65192,0.0004474673
65193,0.0004146143
65194,0.0003814488
65195,0.0003806825
65196,0.0003523686
65197,0.0003549173
65198,0.0003650617
65199,0.0003709581
65200,0.000412423
65201,0.0004843701
65202,0.0004878648
65203,0.0004282047
65204,0.0003714403
65205,0.0003681079
65206,0.0003224967
65207,0.0003169185
65208,0.000338806
65209,0.0003498579
65210,0.000343756
65211,0.0003321047
65212,0.0003481553
65213,0.0003714405
65214,0.0004406607
65215,0.0004313602
65216,0.0004594256
65217,0.0004050561
65218,0.0003410628
65219,0.0003127314
65220,0.0003010754
65221,0.0003829302
65222,0.0004063495
65223,0.0004246027
65224,0.0004551835
65225,0.0004384131
65226,0.0003962915
65227,0.0003897487
65228,0.0003613274
65229,0.0003312056
65230,0.0003906196
65231,0.0003073992
65232,0.0003384523
65233,0.0003580714
65234,0.0004389974
65235,0.0004686456
65236,0.0004350988
65237,0.0004134368
65238,0.0003889908
65239,0.0003122562
65240,0.0003429336
65241,0.000316874
65242,0.0003289063
65243,0.0003157556
65244,0.0002779556
65245,0.000351908
65246,0.0004552906
65247,0.0004380716
65248,0.000443603
65249,0.0004098217
65250,0.0003965498
65251,0.0002935435
65252,0.0003787034
65253,0.0003099946
65254,0.0002961218
65255,0.0003597591
65256,0.0003131659
65257,0.0003400217
65258,0.0003097945
65259,0.0004015733
65260,0.0004480276
65261,0.0004422163
65262,0.0004056363
65263,0.0003591542
65264,0.0002929866
65265,0.0003391748
65266,0.0003355844
65267,0.0003340379
65268,0.000305912
65269,0.0003856086
65270,0.0004545767
65271,0.0004553079
65272,0.0004487819
65273,0.0004429603
65274,0.0003783834
65275,0.0003328135
65276,0.0003355376
65277,0.0003080515
65278,0.0003131659
65279,0.0003041747
65280,0.0003121252
65281,0.0003733427
65282,0.0004493536
65283,0.0004451158
65284,0.0003931662
65285,0.0004423363
65286,0.0003702968
65287,0.0003805383
65288,0.0003329946
65289,0.0003327689
65290,0.0003118997
65291,0.000317284
65292,0.0003466602
65293,0.0004013175
65294,0.0004774498
65295,0.0004457828
65296,0.0004234229
65297,0.0004018328
65298,0.0003906925
65299,0.0003621425
65300,0.0003441472
65301,0.0003055258
65302,0.000359372
65303,0.0003998683
65304,0.0004337836
65305,0.0004786009
65306,0.0005022467
65307,0.0004034417
65308,0.0003390299
65309,0.0003886779
65310,0.0003533248
65311,0.000382289
65312,0.0003482546
65313,0.0003405326
65314,0.0003604329
65315,0.0003504086
65316,0.0003393326
65317,0.0004001036
65318,0.0004713075
65319,0.0004837591
65320,0.000446349
65321,0.0004062685
65322,0.0003898753
65323,0.0003382535
65324,0.0003320044
65325,0.0003137322
65326,0.0003742117
65327,0.000380842
65328,0.0004323562
65329,0.0005045902
65330,0.0004604693
65331,0.0004359023
65332,0.0004188275
65333,0.0003893752
65334,0.0003718212
65335,0.0002607877
65336,0.0001260442
65337,0.000122112
65338,0.0003877548
65339,0.0006018095
65340,0.0007179744
65341,0.0007116777
65342,0.0006242672
65343,0.0006470363
65344,0.0006532902
65345,0.0006606601
65346,0.0007524315
65347,0.0006396075
65348,0.0003444745
65349,0.0005102612
65350,0.000697706
65351,0.0007489446
65352,0.0008847872
65353,0.0008505138
65354,0.0007498689
65355,0.0005434793
65356,0.0005511166
65357,0.0006082144
65358,0.000666235
65359,0.0007624976
65360,0.0007659642
65361,0.0005757782
65362,0.0004290344
65363,0.0001097114
65364,0.0004927594
65365,0.0007364522
65366,0.0008947186
65367,0.0009521426
65368,0.0007994969
65369,0.0007697396
65370,0.0006923309
65371,0.000573754
65372,0.0004574118
65373,0.0003947983
65374,0.0004292719
65375,0.0004807856
65376,0.000527113
65377,0.0005585628
65378,0.0005096193
65379,0.000462231
65380,0.0003759482
65381,0.000324169
65382,0.0003722553
65383,0.0004326602
65384,0.0004512523
65385,0.000494355
65386,0.0005303293
65387,0.0004417914
65388,0.0004621087
65389,0.0004209494
65390,0.0003733524
65391,0.0002545808
65392,0.0004121432
65393,0.000575866
65394,0.0005565828
65395,0.0006074033
65396,0.0005389838
65397,0.0004961077
65398,0.0004490577
65399,0.0003974027
65400,0.0003768458
65401,0.0004466687
65402,0.0005445902
65403,0.000498311
65404,0.0005577639
65405,0.0004654784
65406,0.000425454
65407,0.0004040237
65408,0.0003967637
65409,0.0004000749
65410,0.0004310317
65411,0.0004818709
65412,0.0005012497
65413,0.0005045062
65414,0.0004871293
65415,0.0004421378
65416,0.0004508435
65417,0.0004256197
65418,0.0003289363
65419,0.0003835744
65420,0.0004358458
65421,0.000451569
65422,0.0005091853
65423,0.0004844432
65424,0.0004219073
65425,0.0004554339
65426,0.0004061558
65427,0.0003863198
65428,0.0003815749
65429,0.0004198782
65430,0.0005087826
65431,0.0004924766
65432,0.0005171628
65433,0.0004952502
65434,0.0004276758
65435,0.0004312321
65436,0.0003935329
65437,0.0004289479
65438,0.0004055479
65439,0.0004433433
65440,0.0004809498
65441,0.0004314628
65442,0.0003463271
65443,0.0004251704
65444,0.000438819
65445,0.0004638509
65446,0.000479012
65447,0.0004918549
65448,0.0004919843
65449,0.0004506008
65450,0.0005217805
65451,0.0005413403
65452,0.0004785371
65453,0.0004349348
65454,0.0003683806
65455,0.00036853
65456,0.0004592305
65457,0.0005200885
65458,0.000613378
65459,0.0004674325
65460,0.0005036102
65461,0.0004329077
65462,0.0004072507
65463,0.0003972058
65464,0.0004128086
65465,0.0004192452
65466,0.0003772792
65467,0.0004862715
65468,0.0004979357
65469,0.0005263654
65470,0.0005217111
65471,0.0005462027
65472,0.0004795876
65473,0.0002608256
65474,0.0001883782
65475,0.0001832542
65476,0.0001801319
65477,0.0002477622
65478,0.000338008
65479,0.0003976405
65480,0.00054823
65481,0.0007243883
65482,0.0006863311
65483,0.0002775155
65484,-2.4908e-06
65485,0.0004607888
65486,0.0007580053
65487,0.0007330415
65488,0.0004050303
65489,0.0001796546
65490,0.0002065776
65491,0.000289543
65492,0.0003617673
65493,0.0001854967
65494,-1.09059e-05
65495,-9.38717e-05
65496,-8.4729e-06
65497,3.36592e-05
65498,0.0004311891
65499,0.0003818786
