Frame,Whisker_Count,Filter_Type
4754,2,Less_Than_5
4755,2,Less_Than_5
4756,2,Less_Than_5
4757,2,Less_Than_5
4758,2,Less_Than_5
4759,2,Less_Than_5
4760,2,Less_Than_5
4761,3,Less_Than_5
4762,2,Less_Than_5
4763,2,Less_Than_5
4764,3,Less_Than_5
4765,2,Less_Than_5
4766,2,Less_Than_5
4767,2,Less_Than_5
4768,2,Less_Than_5
4769,2,Less_Than_5
4770,2,Less_Than_5
4771,2,Less_Than_5
4772,2,Less_Than_5
4773,2,Less_Than_5
4774,2,Less_Than_5
4775,2,Less_Than_5
4776,2,Less_Than_5
4777,2,Less_Than_5
4778,2,Less_Than_5
4779,2,Less_Than_5
4780,2,Less_Than_5
4781,2,Less_Than_5
4782,2,Less_Than_5
4783,2,Less_Than_5
4784,2,Less_Than_5
4785,3,Less_Than_5
4786,2,Less_Than_5
4787,3,Less_Than_5
4788,2,Less_Than_5
4789,2,Less_Than_5
4790,2,Less_Than_5
4791,2,Less_Than_5
4792,2,Less_Than_5
4793,2,Less_Than_5
4794,2,Less_Than_5
4795,2,Less_Than_5
4796,2,Less_Than_5
4797,2,Less_Than_5
4798,2,Less_Than_5
4799,2,Less_Than_5
4800,2,Less_Than_5
4801,2,Less_Than_5
4802,2,Less_Than_5
4803,2,Less_Than_5
4804,2,Less_Than_5
4805,2,Less_Than_5
4806,2,Less_Than_5
4807,2,Less_Than_5
4808,2,Less_Than_5
4809,2,Less_Than_5
4810,2,Less_Than_5
4811,2,Less_Than_5
4812,2,Less_Than_5
4813,2,Less_Than_5
4814,2,Less_Than_5
4815,2,Less_Than_5
4816,2,Less_Than_5
4817,2,Less_Than_5
4818,3,Less_Than_5
4819,3,Less_Than_5
4820,3,Less_Than_5
4821,3,Less_Than_5
4822,3,Less_Than_5
4823,3,Less_Than_5
4824,4,Less_Than_5
4825,3,Less_Than_5
4826,3,Less_Than_5
4827,3,Less_Than_5
4828,3,Less_Than_5
4829,3,Less_Than_5
4830,4,Less_Than_5
4831,2,Less_Than_5
4832,2,Less_Than_5
4833,2,Less_Than_5
4834,2,Less_Than_5
4835,2,Less_Than_5
4836,2,Less_Than_5
4837,2,Less_Than_5
4838,2,Less_Than_5
4839,2,Less_Than_5
4840,2,Less_Than_5
4841,2,Less_Than_5
4842,2,Less_Than_5
4843,2,Less_Than_5
4844,2,Less_Than_5
4845,2,Less_Than_5
4846,2,Less_Than_5
4847,2,Less_Than_5
4848,2,Less_Than_5
4849,2,Less_Than_5
4850,2,Less_Than_5
