folder,day,session,group,total_licks,total_bouts,total_frames,licks_per_frame,bouts_per_frame,mean_licks_per_bout,std_licks_per_bout,mean_max_tongue_area,mean_lick_duration,mean_interlick_interval
802_1,802,1,Unknown,24,3,13634.0,0.001760305119554056,0.000220038139944257,8.0,4.58257569495584,934.1666666666666,10.666666666666666,26.904761904761905
802_2,802,2,Unknown,105,7,45989.0,0.00228315466742047,0.00015221031116136467,15.0,6.454972243679028,1064.6666666666667,11.038095238095238,27.275510204081634
802_3,802,3,Unknown,15,2,15631.0,0.0009596315015034227,0.00012795086686712303,7.5,7.7781745930520225,946.3333333333334,11.066666666666666,30.153846153846153
803_1,803,1,Unknown,10,2,37288.0,0.000268182793391976,5.363655867839519e-05,5.0,1.4142135623730951,680.9,4.3,22.5
803_2,803,2,Unknown,52,6,50875.0,0.0010221130221130222,0.00011793611793611793,8.666666666666666,3.9327683210007,738.1730769230769,8.596153846153847,37.26086956521739
803_3,803,3,Unknown,26,5,51968.0,0.0005003078817733991,9.621305418719212e-05,5.2,5.6302753041037,687.4230769230769,7.961538461538462,28.523809523809526
803_4,803,4,Unknown,19,5,29397.0,0.000646324454876348,0.00017008538286219683,3.8,2.949576240750525,836.4736842105264,9.736842105263158,13.642857142857142
803_5,803,5,Unknown,57,15,40747.0,0.0013988759908704935,0.00036812526075539304,3.8,1.567527625639452,544.9122807017544,6.350877192982456,31.80952380952381
804_1,804,1,Unknown,84,18,45986.0,0.001826642891314748,0.00039142347671030313,4.666666666666667,4.910972109351012,694.0595238095239,7.7023809523809526,31.333333333333332
804_2,804,2,Unknown,72,15,47540.0,0.0015145140933950359,0.0003155237694572991,4.8,2.980891525318271,622.3611111111111,6.722222222222222,36.666666666666664
804_3,804,3,Unknown,75,19,55091.0,0.0013613838921057886,0.00034488391933346643,3.9473684210526314,2.7380788928355977,660.2266666666667,7.426666666666667,34.625
804_4,804,4,Unknown,63,12,52239.0,0.0012059955205880664,0.000229713432492965,5.25,2.958039891549808,667.7777777777778,6.507936507936508,32.588235294117645
805_1,805,1,Unknown,131,25,48966.0,0.0026753257362251356,0.0005105583466078503,5.24,3.5856194257989324,687.3816793893129,8.076335877862595,27.933962264150942
805_2,805,2,Unknown,149,22,48965.0,0.0030429898907382825,0.00044930052078014906,6.7727272727272725,4.566251126542358,581.261744966443,10.053691275167786,23.37007874015748
805_3,805,3,Unknown,142,24,50748.0,0.0027981398281705684,0.0004729250413809411,5.916666666666667,2.962323803847341,582.1971830985915,9.316901408450704,22.152542372881356
808_1,808,1,After,149,16,49430.0,0.003014363746712523,0.0003236900667610763,9.3125,7.939091047888711,606.1744966442953,12.718120805369127,22.353383458646615
808_2,808,2,After,145,18,48234.0,0.0030061782145374633,0.0003731807438736161,8.055555555555555,5.104464277037851,579.5862068965517,10.317241379310344,21.62992125984252
808_3,808,3,After,124,19,50651.0,0.0024481254071982783,0.00037511598981263943,6.526315789473684,3.9772746259583833,573.516129032258,10.620967741935484,21.504761904761907
810_1,810,1,After,135,21,50109.0,0.0026941268035682213,0.00041908639166616775,6.428571428571429,5.7233856114316515,484.27407407407406,9.703703703703704,24.535087719298247
810_2,810,2,After,127,15,48920.0,0.0025960752248569093,0.00030662305805396567,8.466666666666667,7.120058854759425,521.9685039370079,9.385826771653543,22.919642857142858
