Folder,Status,ContentStatus,shared_csvs,identical_csvs,size_mismatch_csvs,content_mismatch_csvs,only_in_whiskers_csvs,only_in_whisker_dataset_2_csvs,whiskers_Images,whiskers_0 labels,whiskers_1 labels,whiskers_2 labels,whiskers_3 labels,whiskers_4 labels,whiskers_5 labels,whiskers_6 labels,whiskers_7 labels,whiskers_8 labels,whisker_dataset_2_Images,whisker_dataset_2_0 labels,whisker_dataset_2_1 labels,whisker_dataset_2_2 labels,whisker_dataset_2_3 labels,whisker_dataset_2_4 labels,whisker_dataset_2_5 labels,whisker_dataset_2_6 labels,whisker_dataset_2_7 labels,whisker_dataset_2_8 labels,diff_Images,diff_0 labels,diff_1 labels,diff_2 labels,diff_3 labels,diff_4 labels,diff_5 labels,diff_6 labels,diff_7 labels,diff_8 labels
0427_1,identical_counts_and_csv_content,csv_identical,693,693,0,0,0,0,693,693,0,0,0,0,0,0,0,0,693,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0428_3,identical_counts_and_csv_content,csv_identical,1331,1331,0,0,0,0,1331,0,1331,0,0,0,0,0,0,0,1331,0,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0429_1,identical_counts_and_csv_content,csv_identical,1144,1144,0,0,0,0,1144,0,1144,0,0,0,0,0,0,0,1144,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050724_1,identical_counts_and_csv_content,csv_identical,2855,2855,0,0,0,0,571,571,571,571,571,571,0,0,0,0,571,571,571,571,571,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050924_1,identical_counts_and_csv_content,csv_identical,1110,1110,0,0,0,0,363,363,249,249,249,0,0,0,0,0,363,363,249,249,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050924_1_piezo,identical_counts_and_csv_content,csv_identical,475,475,0,0,0,0,475,475,0,0,0,0,0,0,0,0,475,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050924_5,identical_counts_and_csv_content,csv_identical,866,866,0,0,0,0,866,866,0,0,0,0,0,0,0,0,866,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0514_3,identical_counts_and_csv_content,csv_identical,1176,1176,0,0,0,0,1176,0,1176,0,0,0,0,0,0,0,1176,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0515_1,identical_counts_and_csv_content,csv_identical,1276,1276,0,0,0,0,1276,0,1276,0,0,0,0,0,0,0,1276,0,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
052725_1,identical_counts_and_csv_content,csv_identical,172,172,0,0,0,0,173,172,0,0,0,0,0,0,0,0,173,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
052725_1_1626,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,1131,277,528,493,496,208,0,0,0,0,,,,,,,,,,
080824_1,identical_counts_and_csv_content,csv_identical,1050,1050,0,0,0,0,525,525,525,0,0,0,0,0,0,0,525,525,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091223_1,identical_counts_and_csv_content,csv_identical,264,264,0,0,0,0,66,66,66,66,66,0,0,0,0,0,66,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091322_1,identical_counts_and_csv_content,csv_identical,75,75,0,0,0,0,15,15,15,15,15,15,0,0,0,0,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
092523_2_1,identical_counts_and_csv_content,csv_identical,480,480,0,0,0,0,120,120,120,120,120,0,0,0,0,0,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
092624_1_4,identical_counts_and_csv_content,csv_identical,812,812,0,0,0,0,203,203,203,203,203,0,0,0,0,0,203,203,203,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
092724_1,identical_counts_and_csv_content,csv_identical,268,268,0,0,0,0,67,67,67,67,67,0,0,0,0,0,67,67,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100923_1,identical_counts_and_csv_content,csv_identical,620,620,0,0,0,0,155,155,155,155,155,0,0,0,0,0,155,155,155,155,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101925_1,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,658,164,293,354,282,53,0,0,0,0,,,,,,,,,,
102225_1,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,0,0,0,0,,,,,,,,,,
102725_1_march,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,1114,1114,1112,1112,1112,1112,0,0,0,0,,,,,,,,,,
112223_1,identical_counts_and_csv_content,csv_identical,173,173,0,0,0,0,113,20,113,20,20,0,0,0,0,0,113,20,113,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112423_1,identical_counts_and_csv_content,csv_identical,3289,3289,0,0,0,0,1817,1789,821,298,298,83,0,0,0,0,1817,1789,821,298,298,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112423_2,identical_counts_and_csv_content,csv_identical,412,412,0,0,0,0,103,103,103,103,103,0,0,0,0,0,103,103,103,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112823_1,identical_counts_and_csv_content,csv_identical,2788,2788,0,0,0,0,1653,1622,849,139,139,39,0,0,0,0,1653,1622,849,139,139,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4588_053124_1,identical_counts_and_csv_content,csv_identical,1100,1100,0,0,0,0,220,220,220,220,220,220,0,0,0,0,220,220,220,220,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4589_053124_1,identical_counts_and_csv_content,csv_identical,1456,1456,0,0,0,0,728,728,728,0,0,0,0,0,0,0,728,728,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4589_060324,identical_counts_and_csv_content,csv_identical,604,604,0,0,0,0,302,302,302,0,0,0,0,0,0,0,302,302,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5378_070824,identical_counts_and_csv_content,csv_identical,2760,2760,0,0,0,0,552,552,552,552,552,552,0,0,0,0,552,552,552,552,552,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1_300_roi1_00002,identical_counts_and_csv_content,csv_identical,529,529,0,0,0,0,529,529,0,0,0,0,0,0,0,0,529,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRN_opto1_XP_3s_cont_stim_5x0_nob,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,120,117,119,107,116,117,119,0,0,0,,,,,,,,,,
MRN_opto1_XP_3s_cont_stim_5x0_nob_more,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,584,567,564,373,546,547,528,0,0,0,,,,,,,,,,
MRN_opto2_XP_3s_cont_stim_5x0_nob,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,324,281,300,292,283,312,308,0,0,0,,,,,,,,,,
MRN_opto5_F_8_2_25_L_20260116_opto_xp_0_nob,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,249,204,208,99,209,241,166,0,0,0,,,,,,,,,,
MRN_opto5_F_8_2_25_L_20260116_opto_xp_2s_dur_10x_stimulations0_nob,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,686,669,628,422,592,664,399,0,0,0,,,,,,,,,,
MRN_opto6_M_8_9_25_L_20260115_opto_xp_0_nob,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,321,207,295,305,263,255,227,0,0,0,,,,,,,,,,
Mel,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,330,240,260,297,289,317,0,0,0,0,,,,,,,,,,
wx_0_2499,identical_counts_and_csv_content,csv_identical,120,120,0,0,0,0,71,67,53,0,0,0,0,0,0,0,71,67,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wx_1630000_1632499,identical_counts_and_csv_content,csv_identical,137,137,0,0,0,0,37,37,37,34,29,0,0,0,0,0,37,37,37,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
